index,build,test_index,SIZE,NTHREADS,y_RX-RATE-PPS,y_RX-RATE-MBPS,y_LOSE-RATE,y_AVG-LAT,y_RX-GOODPUT-GBPS-PKTGEN,y_GOODRATEPC,run_index
213,DPA IPLOOKUP 10K,11,128,64,27668.0,32.759364,0.99966462359211,0.0,,0.03353764078900534,0
214,DPA IPLOOKUP 10K,11,128,64,27665.0,32.7554568,0.99966463670611,0.0,,0.033536329388994535,1
215,DPA IPLOOKUP 10K,11,128,64,27663.0,32.7532072,0.99966406971894,0.0,,0.03359302810600484,2
216,DPA IPLOOKUP 10K,12,256,64,27675.0,61.1065448,0.99938186070604,0.0,,0.06181392939600405,0
217,DPA IPLOOKUP 10K,12,256,64,27687.0,61.133908,0.99938158751106,0.0,,0.06184124889400122,1
218,DPA IPLOOKUP 10K,12,256,64,27669.0,61.0921768,0.99938196763836,0.0,,0.06180323616400418,2
219,DPA IPLOOKUP 10K,13,512,64,27673.0,117.7745832,0.99880040296078,0.0,,0.11995970392200128,0
220,DPA IPLOOKUP 10K,13,512,64,27677.0,117.7938824,0.99880035792527,0.0,,0.11996420747300007,1
221,DPA IPLOOKUP 10K,13,512,64,27670.0,117.7636648,0.99880060634688,0.0,,0.11993936531200511,2
222,DPA IPLOOKUP 10K,14,1024,64,27654.0,230.9659432,0.99765978251123,0.0,,0.23402174887700022,0
223,DPA IPLOOKUP 10K,14,1024,64,27684.0,231.2159464,0.99765751745283,0.0,,0.2342482547169955,1
224,DPA IPLOOKUP 10K,14,1024,64,27672.0,231.1121032,0.99765868579967,0.0,,0.23413142003300136,2
225,DPA IPLOOKUP 10K,15,64,128,55329.0,37.181188,0.99948731352789,0.0,,0.05126864721100022,0
226,DPA IPLOOKUP 10K,15,64,128,55262.0,37.1364328,0.99947831812279,0.0,,0.05216818772100229,1
227,DPA IPLOOKUP 10K,15,64,128,55349.0,37.1950984,0.99948744083643,0.0,,0.05125591635699589,2
228,DPA IPLOOKUP 10K,16,128,128,55320.0,65.4994504,0.99932765190665,0.0,,0.06723480933500392,0
229,DPA IPLOOKUP 10K,16,128,128,55316.0,65.4948328,0.99932944920784,0.0,,0.06705507921600518,1
230,DPA IPLOOKUP 10K,16,128,128,55280.0,65.4516584,0.99932350547557,0.0,,0.06764945244299714,2
